date,store,salesperson,vehicle_type,sale_price,front_gross,back_gross,lead_source,status,days_in_inventory,stock_number,make,model,year,fi_products_sold,csi_score
2025-04-01,Store 1,SP_F,New,"$69,770","$2,262",$671,AutoTrader,Pending,130,STK-00001,Chevrolet,Highlander,2024,0,0
2025-04-01,Store 1,SP_A,New,"$37,217","$2,866",$978,Website,Sold,89,STK-00002,GMC,Tahoe,2024,2,9.4
2025-04-01,Store 1,SP_I,Used,"$25,753","$1,709",$511,Facebook,Sold,112,STK-00003,Ford,Envision,2023,0,8.6
2025-04-01,Store 1,SP_J,Used,"$42,681","$1,664","$2,032",AutoTrader,Pending,96,STK-00004,Honda,CR-V,2019,0,9.3
2025-04-01,Store 1,SP_I,New,"$29,008","$1,934","$1,462",Email Campaign,Sold,95,STK-00005,Honda,Equinox,2025,2,9.4
2025-04-01,Store 1,SP_G,New,"$67,510","$3,516","$1,687",Website,Lost,98,STK-00006,Cadillac,Malibu,2026,0,0
2025-04-01,Store 10,SP_G,Used,"$42,564",$535,"$1,753",Email Campaign,Sold,34,STK-00007,Buick,XT5,2019,2,9.2
2025-04-01,Store 11,SP_J,Used,"$26,572","$2,569",$532,Walk-In,Sold,98,STK-00008,Cadillac,Equinox,2022,2,8.8
2025-04-01,Store 11,SP_E,New,"$42,869","$3,391","$1,325",Website,Sold,112,STK-00009,GMC,Envision,2024,2,9.0
2025-04-01,Store 11,SP_A,Used,"$44,314","$1,729","$1,160",Service Drive,Sold,95,STK-00010,Ford,Tahoe,2021,1,10.0
2025-04-01,Store 11,SP_A,New,"$53,278",$851,"$2,078",Walk-In,Sold,39,STK-00011,Chevrolet,Encore,2025,2,8.3
2025-04-01,Store 11,SP_E,New,"$25,224","$2,816","$2,071",Facebook,Sold,109,STK-00012,Toyota,Traverse,2024,1,9.5
2025-04-01,Store 12,SP_I,New,"$30,167","$1,331","$1,268",Walk-In,Sold,95,STK-00013,Cadillac,Pilot,2026,1,8.9
2025-04-01,Store 12,SP_H,New,"$37,530","$2,232","$1,379",Referral,Sold,127,STK-00014,Ford,Accord,2026,2,9.2
2025-04-01,Store 12,SP_I,Used,"$42,200","$1,060","$1,947",Facebook,Pending,26,STK-00015,Cadillac,Escape,2024,0,0
2025-04-01,Store 12,SP_H,New,"$45,324","$2,662",$458,AutoTrader,Sold,20,STK-00016,Buick,RAV4,2025,4,8.8
2025-04-01,Store 2,SP_A,Used,"$31,544",$936,$338,Walk-In,Lost,8,STK-00017,Cadillac,Encore,2024,0,0
2025-04-01,Store 2,SP_H,Used,"$17,453","$1,043","$1,763",Phone,Sold,31,STK-00018,Chevrolet,Terrain,2020,4,9.2
2025-04-01,Store 2,SP_H,Used,"$11,348","$2,310","$1,591",Repeat Customer,Sold,87,STK-00019,GMC,Encore,2021,3,8.4
2025-04-01,Store 3,SP_E,Used,"$25,011","$1,999",$901,Website,Sold,118,STK-00020,Buick,Escape,2024,4,9.6
2025-04-01,Store 3,SP_A,New,"$34,175","$1,811","$1,072",Email Campaign,Sold,127,STK-00021,Honda,Tahoe,2024,3,8.4
2025-04-01,Store 3,SP_C,Used,"$22,476","$1,600",$591,AutoTrader,Lost,115,STK-00022,Ford,Malibu,2019,0,8.6
2025-04-01,Store 3,SP_I,New,"$69,723",$789,$337,Referral,Lost,32,STK-00023,Buick,Sierra,2026,0,0
2025-04-01,Store 3,SP_A,Used,"$25,806","$2,383","$1,059",Facebook,Sold,106,STK-00024,Buick,Malibu,2019,2,8.9
2025-04-01,Store 4,SP_D,New,"$68,447","$2,934","$1,405",Walk-In,Sold,119,STK-00025,Ford,Malibu,2025,1,9.2
2025-04-01,Store 4,SP_E,New,"$31,458","$1,800","$1,742",Phone,Sold,111,STK-00026,Toyota,F-150,2025,1,9.9
2025-04-01,Store 4,SP_C,Used,"$41,609","$1,346","$2,133",AutoTrader,Sold,54,STK-00027,GMC,Camry,2020,1,9.5
2025-04-01,Store 4,SP_C,New,"$48,513","$1,616",$535,Website,Pending,77,STK-00028,Ford,Malibu,2025,0,0
2025-04-01,Store 4,SP_I,New,"$49,026","$2,269",$421,Facebook,Lost,86,STK-00029,Buick,Traverse,2025,0,0
2025-04-01,Store 5,SP_B,New,"$64,178","$1,572","$1,112",Walk-In,Sold,66,STK-00030,Buick,Camry,2026,2,9.4
2025-04-01,Store 6,SP_B,New,"$67,330","$2,009","$1,351",CarGurus,Lost,75,STK-00031,Toyota,Camry,2024,0,9.8
2025-04-01,Store 6,SP_A,New,"$64,048","$3,351","$1,172",Facebook,Sold,29,STK-00032,Honda,Encore,2024,0,9.0
2025-04-01,Store 7,SP_G,New,"$38,943","$3,077","$1,628",CarGurus,Sold,100,STK-00033,Toyota,Malibu,2026,0,9.1
2025-04-01,Store 7,SP_H,New,"$70,695","$1,335",$302,Walk-In,Pending,109,STK-00034,Chevrolet,Terrain,2025,0,9.0
2025-04-01,Store 8,SP_C,New,"$25,321","$1,969",$911,AutoTrader,Sold,80,STK-00035,Chevrolet,Tahoe,2024,2,9.7
2025-04-01,Store 8,SP_G,New,"$38,460","$2,948","$1,805",Facebook,Sold,32,STK-00036,Buick,Envision,2025,1,9.7
2025-04-01,Store 8,SP_B,New,"$22,994","$1,643","$2,054",Phone,Lost,30,STK-00037,GMC,Encore,2024,0,0
2025-04-01,Store 8,SP_F,New,"$38,094","$1,828","$1,123",Referral,Sold,62,STK-00038,Ford,Sierra,2025,1,9.9
2025-04-01,Store 9,SP_I,New,"$56,251","$1,304",$839,Email Campaign,Sold,31,STK-00039,Buick,Envision,2026,1,9.5
2025-04-01,Store 9,SP_A,New,"$74,713","$1,590",$738,Service Drive,Sold,85,STK-00040,Cadillac,Pilot,2024,1,9.2
2025-04-01,Store 9,SP_D,Used,"$36,256","$1,016","$2,119",Repeat Customer,Pending,84,STK-00041,Cadillac,Silverado,2021,0,0
2025-04-01,Store 9,SP_G,New,"$63,410","$1,922",$704,Website,Sold,77,STK-00042,GMC,F-150,2026,4,8.0
2025-04-02,Store 1,SP_G,New,"$45,698","$1,405","$1,235",CarGurus,Sold,76,STK-00043,Honda,XT5,2024,0,8.6
2025-04-02,Store 1,SP_B,New,"$61,122","$2,695","$2,072",Email Campaign,Sold,79,STK-00044,Cadillac,Sierra,2025,4,8.7
2025-04-02,Store 1,SP_J,New,"$22,409",$701,$820,Service Drive,Sold,68,STK-00045,Cadillac,Traverse,2025,2,9.6
2025-04-02,Store 1,SP_I,Used,"$38,130","$3,785","$2,032",Email Campaign,Lost,118,STK-00046,Toyota,CR-V,2020,0,8.1
2025-04-02,Store 11,SP_F,New,"$31,088","$1,376",$685,Repeat Customer,Sold,50,STK-00047,Buick,F-150,2025,3,8.4
2025-04-02,Store 11,SP_G,New,"$38,432","$3,146","$1,493",Phone,Sold,67,STK-00048,Toyota,Pilot,2025,2,9.4
2025-04-02,Store 12,SP_D,New,"$27,206","$2,784","$2,038",CarGurus,Pending,110,STK-00049,Cadillac,Encore,2026,0,9.0
2025-04-02,Store 12,SP_E,Used,"$14,840","$3,633",$616,Email Campaign,Sold,129,STK-00050,GMC,Highlander,2019,3,9.6
