date,store,salesperson,vehicle_type,sale_price,front_gross,back_gross,lead_source,status,days_in_inventory,stock_number,make,model,year,fi_products_sold,csi_score
2025-04-01,Store 1,SP_F,New,"$51,091","$1,045","$1,188",Website,Sold,113,STK-00001,Buick,Encore,2025,4,9.3
2025-04-01,Store 1,SP_B,New,"$33,608","$2,501","$1,902",Service Drive,Pending,31,STK-00002,Chevrolet,Traverse,2026,0,0
2025-04-01,Store 1,SP_H,Used,"$26,008","$1,545",$831,AutoTrader,Lost,38,STK-00003,Toyota,Highlander,2023,0,0
2025-04-01,Store 1,SP_A,Used,"$41,709","$2,479",$937,Walk-In,Sold,107,STK-00004,GMC,Encore,2021,1,8.4
2025-04-01,Store 1,SP_B,New,"$41,359","$2,366","$1,943",Walk-In,Lost,19,STK-00005,Toyota,Camry,2026,0,0
2025-04-01,Store 2,SP_E,Used,"$24,989","$3,104","$1,229",Walk-In,Pending,7,STK-00006,Chevrolet,Tahoe,2023,0,0
2025-04-01,Store 2,SP_F,New,"$37,092","$1,989","$1,847",Service Drive,Pending,47,STK-00007,Toyota,Camry,2024,0,0
2025-04-01,Store 2,SP_C,Used,"$41,635","$2,422","$1,846",CarGurus,Sold,5,STK-00008,Cadillac,Envision,2023,1,8.3
2025-04-01,Store 2,SP_D,New,"$61,639","$2,428",$957,Referral,Pending,15,STK-00009,Toyota,Camry,2025,0,0
2025-04-01,Store 2,SP_C,New,"$38,193","$1,787","$1,611",AutoTrader,Pending,13,STK-00010,Toyota,RAV4,2026,0,0
2025-04-01,Store 2,SP_D,Used,"$40,499","$2,771","$2,095",Website,Sold,30,STK-00011,Honda,Envision,2024,4,9.4
2025-04-01,Store 2,SP_G,Used,"$32,563","$1,519","$1,275",CarGurus,Lost,54,STK-00012,Ford,Escape,2020,0,0
2025-04-01,Store 2,SP_J,Used,"$26,033","$2,011","$1,810",AutoTrader,Sold,47,STK-00013,Cadillac,Envision,2023,4,9.1
2025-04-01,Store 2,SP_F,Used,"$35,546","$1,531","$1,561",Facebook,Sold,42,STK-00014,Ford,Bronco,2021,2,8.7
2025-04-01,Store 2,SP_F,New,"$44,300","$1,779",$790,Walk-In,Sold,15,STK-00015,Chevrolet,Tahoe,2025,3,9.9
2025-04-01,Store 3,SP_B,Used,"$20,394","$3,518","$1,577",Facebook,Lost,33,STK-00016,Chevrolet,Silverado,2020,0,0
2025-04-01,Store 3,SP_H,New,"$45,653","$1,888","$1,776",Phone,Pending,24,STK-00017,Toyota,Highlander,2025,0,0
2025-04-01,Store 3,SP_I,Used,"$20,199","$3,706","$1,914",Service Drive,Sold,33,STK-00018,Honda,XT5,2019,0,8.9
2025-04-01,Store 3,SP_H,New,"$43,462","$1,941","$1,487",Walk-In,Sold,32,STK-00019,Buick,Pilot,2024,4,9.6
2025-04-01,Store 3,SP_H,New,"$36,955","$2,339","$1,836",Service Drive,Sold,38,STK-00020,Buick,Terrain,2025,3,9.8
2025-04-01,Store 4,SP_I,Used,"$19,145",$550,"$1,315",Phone,Sold,8,STK-00021,Cadillac,XT5,2020,0,8.5
2025-04-01,Store 4,SP_C,Used,"$23,987",$504,$748,Walk-In,Lost,25,STK-00022,GMC,CR-V,2023,0,0
2025-04-01,Store 4,SP_E,New,"$66,431",$482,$659,Service Drive,Sold,19,STK-00023,Buick,Encore,2025,3,8.1
2025-04-01,Store 4,SP_H,Used,"$13,226",$686,$709,Email Campaign,Sold,48,STK-00024,GMC,Accord,2023,1,8.4
2025-04-01,Store 4,SP_J,New,"$43,536",$591,"$1,512",CarGurus,Pending,11,STK-00025,Ford,Escape,2025,0,0
2025-04-01,Store 4,SP_C,New,"$43,366",$540,"$1,301",Phone,Lost,37,STK-00026,GMC,Envision,2025,0,0
2025-04-01,Store 5,SP_B,Used,"$14,696","$1,586","$1,792",Service Drive,Pending,43,STK-00027,Honda,Encore,2019,0,0
2025-04-01,Store 5,SP_F,New,"$48,458","$1,145",$986,Website,Sold,42,STK-00028,Toyota,RAV4,2025,1,9.7
2025-04-01,Store 5,SP_F,Used,"$19,826","$2,835","$1,021",AutoTrader,Sold,27,STK-00029,Chevrolet,Traverse,2021,4,9.5
2025-04-01,Store 5,SP_H,Used,"$20,434","$2,339","$2,052",AutoTrader,Sold,31,STK-00030,Toyota,Tacoma,2021,3,8.3
2025-04-01,Store 5,SP_B,Used,"$28,681","$2,998","$1,045",Service Drive,Sold,20,STK-00031,Buick,Encore,2023,3,8.6
2025-04-01,Store 5,SP_I,New,"$30,009","$2,078",$957,Email Campaign,Sold,36,STK-00032,GMC,Accord,2024,3,9.1
2025-04-01,Store 5,SP_C,New,"$43,330","$2,587","$1,071",Email Campaign,Sold,51,STK-00033,Toyota,RAV4,2024,3,9.7
2025-04-01,Store 5,SP_B,Used,"$23,120","$1,565",$861,Service Drive,Pending,26,STK-00034,Buick,Ridgeline,2024,0,0
2025-04-01,Store 5,SP_H,New,"$47,598",$981,"$1,869",Referral,Lost,19,STK-00035,GMC,Accord,2024,0,0
2025-04-01,Store 6,SP_F,Used,"$33,719","$2,952","$1,375",Phone,Sold,19,STK-00036,Cadillac,Ridgeline,2020,2,8.1
2025-04-01,Store 6,SP_B,New,"$30,477","$2,334",$786,Repeat Customer,Lost,49,STK-00037,Cadillac,CR-V,2025,0,0
2025-04-01,Store 6,SP_A,Used,"$31,011","$3,051","$1,443",Phone,Pending,33,STK-00038,Buick,Envision,2020,0,0
2025-04-01,Store 6,SP_G,New,"$62,354","$2,364","$1,504",AutoTrader,Sold,43,STK-00039,Cadillac,Encore,2026,2,8.7
2025-04-01,Store 7,SP_G,New,"$35,150","$2,318","$1,346",CarGurus,Pending,53,STK-00040,Toyota,Highlander,2024,0,0
2025-04-01,Store 7,SP_F,New,"$48,043",$890,$991,Repeat Customer,Sold,49,STK-00041,GMC,Ridgeline,2025,3,8.8
2025-04-01,Store 7,SP_C,New,"$51,313","$2,426",$709,Walk-In,Lost,102,STK-00042,Buick,Pilot,2026,0,0
2025-04-01,Store 7,SP_I,Used,"$18,809","$1,711","$1,815",CarGurus,Sold,8,STK-00043,Toyota,Highlander,2024,1,10
2025-04-01,Store 7,SP_H,Used,"$30,449","$3,532","$2,158",CarGurus,Lost,15,STK-00044,Cadillac,Accord,2023,0,0
2025-04-01,Store 7,SP_H,New,"$53,709","$2,272","$1,326",CarGurus,Pending,51,STK-00045,Cadillac,CR-V,2026,0,0
2025-04-01,Store 8,SP_I,New,"$47,601","$1,325","$1,718",Phone,Sold,55,STK-00046,Chevrolet,Equinox,2025,2,9.1
2025-04-01,Store 8,SP_D,New,"$41,351",$896,"$1,296",AutoTrader,Pending,41,STK-00047,Honda,Terrain,2025,0,0
2025-04-01,Store 8,SP_F,Used,"$22,096","$3,159","$1,423",Referral,Pending,24,STK-00048,Buick,Envision,2022,0,0
2025-04-01,Store 8,SP_F,New,"$34,804","$2,074","$1,027",Phone,Sold,18,STK-00049,Ford,Explorer,2024,4,8.4
2025-04-01,Store 8,SP_D,New,"$56,244","$2,456","$1,480",Service Drive,Sold,47,STK-00050,GMC,Envision,2025,2,8.7
2025-04-01,Store 8,SP_G,New,"$43,428","$1,620",$914,Referral,Lost,18,STK-00051,Honda,Envision,2024,0,0
2025-04-01,Store 8,SP_B,Used,"$21,825","$1,916","$1,584",Repeat Customer,Lost,53,STK-00052,GMC,CR-V,2022,0,0
2025-04-01,Store 8,SP_C,New,"$58,688","$2,469","$1,565",AutoTrader,Lost,10,STK-00053,Cadillac,Accord,2026,0,0
2025-04-01,Store 9,SP_H,New,"$56,773","$1,381",$794,Walk-In,Sold,21,STK-00054,Buick,Terrain,2026,0,9.1
2025-04-01,Store 9,SP_D,New,"$61,763","$1,999",$917,Service Drive,Lost,34,STK-00055,Honda,Ridgeline,2024,0,0
2025-04-01,Store 9,SP_A,Used,"$20,629","$1,915","$2,054",Walk-In,Lost,1,STK-00056,Cadillac,CR-V,2022,0,0
2025-04-01,Store 9,SP_B,Used,"$12,592","$3,190","$1,582",Email Campaign,Sold,42,STK-00057,Ford,Escape,2020,0,8.9
2025-04-01,Store 9,SP_C,Used,"$16,429","$1,962","$1,873",Service Drive,Pending,43,STK-00058,GMC,CR-V,2023,0,0
2025-04-01,Store 9,SP_J,Used,"$24,106","$1,669","$1,131",Service Drive,Lost,19,STK-00059,Toyota,Camry,2024,0,0
2025-04-01,Store 9,SP_G,Used,"$23,953","$3,302","$1,333",Phone,Sold,21,STK-00060,Ford,Escape,2019,2,9
2025-04-01,Store 10,SP_J,Used,"$16,248","$2,804","$1,996",Facebook,Sold,3,STK-00061,GMC,CR-V,2024,0,8.6
2025-04-01,Store 10,SP_F,New,"$47,994",$877,"$1,931",Website,Sold,21,STK-00062,GMC,Accord,2026,4,8.6
2025-04-01,Store 10,SP_A,New,"$39,714",$847,$797,Repeat Customer,Sold,28,STK-00063,GMC,Accord,2026,1,9.6
2025-04-01,Store 10,SP_C,Used,"$30,601","$3,719",$928,Website,Lost,41,STK-00064,Chevrolet,Silverado,2021,0,0
2025-04-01,Store 10,SP_F,Used,"$28,896","$1,914","$1,514",Email Campaign,Sold,44,STK-00065,Chevrolet,Traverse,2024,4,9.8
2025-04-01,Store 11,SP_B,New,"$47,471","$1,481",$399,Walk-In,Sold,13,STK-00066,Toyota,Highlander,2026,0,9.1
2025-04-01,Store 11,SP_A,Used,"$33,239",$835,$312,Email Campaign,Sold,27,STK-00067,Honda,XT5,2020,1,9.9
2025-04-01,Store 11,SP_I,New,"$44,290","$1,181",$352,CarGurus,Lost,49,STK-00068,Buick,Accord,2025,0,0
2025-04-01,Store 11,SP_J,New,"$43,837","$1,438",$358,Repeat Customer,Lost,15,STK-00069,GMC,Pilot,2024,0,0
2025-04-01,Store 11,SP_J,Used,"$30,063","$1,282",$389,CarGurus,Sold,39,STK-00070,Toyota,Camry,2023,0,9.4
2025-04-01,Store 11,SP_E,Used,"$38,052","$1,400",$238,Facebook,Sold,23,STK-00071,Honda,Ridgeline,2020,2,8.8
2025-04-01,Store 11,SP_G,Used,"$39,083","$1,618",$306,Service Drive,Sold,7,STK-00072,GMC,Pilot,2022,2,9.1
2025-04-01,Store 12,SP_I,Used,"$13,911","$1,803","$1,237",CarGurus,Lost,2,STK-00073,GMC,Ridgeline,2020,0,0
2025-04-01,Store 12,SP_C,Used,"$40,037","$3,483",$829,AutoTrader,Sold,50,STK-00074,Ford,Explorer,2019,1,9.7
2025-04-01,Store 12,SP_I,Used,"$26,599","$2,009",$810,CarGurus,Sold,19,STK-00075,GMC,CR-V,2020,2,9.9
2025-04-01,Store 12,SP_C,Used,"$25,364","$2,535",$925,Email Campaign,Sold,55,STK-00076,Buick,Ridgeline,2021,1,8.4
2025-04-01,Store 12,SP_J,Used,"$21,223","$3,557","$1,666",Facebook,Pending,51,STK-00077,Cadillac,Ridgeline,2022,0,0
2025-04-02,Store 1,SP_B,Used,"$18,836","$2,612","$1,476",Email Campaign,Lost,47,STK-00078,Ford,Escape,2020,0,0
2025-04-02,Store 1,SP_I,New,"$58,956","$2,399","$1,111",AutoTrader,Lost,8,STK-00079,Honda,Envision,2026,0,0
2025-04-02,Store 1,SP_E,Used,"$23,036","$2,177","$1,469",Walk-In,Sold,82,STK-00080,GMC,Accord,2023,1,9
2025-04-02,Store 1,SP_H,New,"$44,195","$1,011",$801,AutoTrader,Lost,25,STK-00081,Chevrolet,Silverado,2026,0,0
2025-04-02,Store 1,SP_G,New,"$28,594","$1,906","$1,546",Service Drive,Pending,35,STK-00082,Honda,XT5,2026,0,0
2025-04-02,Store 1,SP_I,New,"$36,508",$994,$872,Walk-In,Lost,53,STK-00083,Honda,Accord,2025,0,0
2025-04-02,Store 2,SP_H,New,"$46,115","$2,277","$1,583",Repeat Customer,Sold,44,STK-00084,Ford,Bronco,2025,2,8.1
2025-04-02,Store 2,SP_H,New,"$55,459",$938,"$1,811",Walk-In,Sold,29,STK-00085,Honda,Ridgeline,2025,3,8.9
2025-04-02,Store 2,SP_D,Used,"$20,702","$3,092","$1,240",Service Drive,Sold,44,STK-00086,Toyota,Camry,2020,1,8.9
2025-04-02,Store 2,SP_C,Used,"$36,477","$2,323","$1,411",AutoTrader,Sold,20,STK-00087,Buick,Envision,2021,3,9.5
2025-04-02,Store 2,SP_E,New,"$37,173","$1,842","$1,920",Website,Lost,5,STK-00088,Honda,Envision,2026,0,0
2025-04-02,Store 2,SP_H,Used,"$34,486","$2,878","$1,870",CarGurus,Sold,53,STK-00089,Honda,XT5,2019,4,9.9
2025-04-02,Store 2,SP_F,Used,"$14,545","$3,239","$1,278",Walk-In,Pending,45,STK-00090,Cadillac,CR-V,2019,0,0
2025-04-02,Store 2,SP_F,New,"$41,585","$1,287","$1,360",Walk-In,Sold,11,STK-00091,Cadillac,Envision,2024,3,8.1
2025-04-02,Store 2,SP_J,New,"$63,268","$1,810","$1,147",Service Drive,Sold,24,STK-00092,Toyota,Camry,2024,1,9.5
2025-04-02,Store 2,SP_F,Used,"$27,217","$3,131",$947,Referral,Pending,39,STK-00093,Ford,Escape,2021,0,0
2025-04-02,Store 3,SP_C,New,"$34,784",$778,$719,Email Campaign,Pending,27,STK-00094,Chevrolet,Traverse,2025,0,0
2025-04-02,Store 3,SP_D,New,"$59,350","$1,817","$1,146",CarGurus,Sold,7,STK-00095,Toyota,Tacoma,2025,3,8.4
2025-04-02,Store 3,SP_H,Used,"$12,867","$3,155","$1,146",Walk-In,Sold,54,STK-00096,Honda,CR-V,2021,2,9.5
2025-04-02,Store 3,SP_I,Used,"$19,734","$3,083","$1,903",Facebook,Pending,4,STK-00097,Cadillac,Terrain,2024,0,0
2025-04-02,Store 3,SP_G,New,"$38,438","$1,496",$805,Website,Sold,8,STK-00098,GMC,CR-V,2024,1,9.5
2025-04-02,Store 3,SP_B,Used,"$22,108","$2,223","$1,831",Walk-In,Sold,43,STK-00099,Toyota,Highlander,2023,0,8.7
2025-04-02,Store 3,SP_G,New,"$59,583","$2,258","$1,824",CarGurus,Sold,7,STK-00100,Buick,XT5,2026,4,9.5
2025-04-02,Store 4,SP_D,Used,"$15,946",$738,"$1,532",Walk-In,Lost,49,STK-00101,Buick,Terrain,2021,0,0
2025-04-02,Store 4,SP_B,New,"$53,317",$226,"$1,155",AutoTrader,Lost,108,STK-00102,Cadillac,Envision,2025,0,0
